vuln_id,cve,scanner,component,severity,state,disposition,title,justification,url
345912265,CVE-2026-58014,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58014 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912265
345912253,CVE-2026-53615,Container Scanning,util-linux,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:util-linux,"util-linux: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912253
345912249,CVE-2025-69720,Container Scanning,libtinfo6,HIGH,DISMISSED,Not applicable,CVE-2025-69720 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libtinfo6,"libtinfo6: no interactive terminal in the serving container. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912249
345912234,CVE-2026-9538,Container Scanning,perl-base,HIGH,DISMISSED,Not applicable,CVE-2026-9538 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912234
345912225,CVE-2026-53615,Container Scanning,libblkid1,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libblkid1,"libblkid1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912225
345912219,CVE-2025-69720,Container Scanning,libncursesw6,HIGH,DISMISSED,Not applicable,CVE-2025-69720 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libncursesw6,"libncursesw6: no interactive terminal in the serving container. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912219
345912210,CVE-2026-53615,Container Scanning,bsdutils,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:bsdutils,"bsdutils: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912210
345912209,CVE-2026-57432,Container Scanning,perl-base,HIGH,DISMISSED,Not applicable,CVE-2026-57432 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912209
345912203,CVE-2025-69720,Container Scanning,ncurses-base,HIGH,DISMISSED,Not applicable,CVE-2025-69720 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:ncurses-base,"ncurses-base: no interactive terminal in the serving container. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912203
345912199,CVE-2026-42497,Container Scanning,perl-base,HIGH,DISMISSED,Not applicable,CVE-2026-42497 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912199
345912198,CVE-2026-48962,Container Scanning,perl-base,HIGH,DISMISSED,Not applicable,CVE-2026-48962 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912198
345912190,CVE-2026-54369,Container Scanning,libacl1,HIGH,DISMISSED,Not applicable,CVE-2026-54369 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libacl1,"libacl1: apt never runs at container runtime; these CVEs sit in code paths the app does not drive with untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912190
345912187,CVE-2025-69720,Container Scanning,ncurses-bin,HIGH,DISMISSED,Not applicable,CVE-2025-69720 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:ncurses-bin,"ncurses-bin: no interactive terminal in the serving container. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912187
345912184,CVE-2026-53615,Container Scanning,libmount1,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libmount1,"libmount1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912184
345912183,CVE-2026-53615,Container Scanning,mount,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:mount,"util-linux: single non-root Python process; mount/login functionality never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912183
345912166,CVE-2026-58011,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58011 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912166
345912159,CVE-2026-58012,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58012 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912159
345912149,CVE-2026-53615,Container Scanning,login,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:login,"login: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912149
345912142,CVE-2026-53615,Container Scanning,libsmartcols1,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libsmartcols1,"libsmartcols1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912142
345912132,CVE-2026-58010,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58010 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912132
348083371,CVE-2026-18508,Container Scanning,tar,MEDIUM,DISMISSED,Not applicable,CVE-2026-18508 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:tar,"tar: base shell utilities never invoked by the serving process on untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/348083371
347969841,CVE-2026-18477,Container Scanning,tar,MEDIUM,DISMISSED,Not applicable,CVE-2026-18477 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:tar,"tar: base shell utilities never invoked by the serving process on untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/347969841
345912322,CVE-2026-13595,Container Scanning,mount,MEDIUM,DISMISSED,Not applicable,CVE-2026-13595 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:mount,"mount: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912322
345912319,CVE-2026-54411,Container Scanning,libpam-modules,MEDIUM,DISMISSED,Not applicable,CVE-2026-54411 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libpam-modules,"libpam-modules: no login/su/ssh in the container; PAM modules never load. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912319
345912318,CVE-2026-13595,Container Scanning,bsdutils,MEDIUM,DISMISSED,Not applicable,CVE-2026-13595 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:bsdutils,"bsdutils: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912318
345912310,CVE-2026-27456,Container Scanning,libuuid1,MEDIUM,DISMISSED,Not applicable,CVE-2026-27456 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libuuid1,"libuuid1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912310
345912306,CVE-2026-50813,Container Scanning,libsqlite3-0,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-50813 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libsqlite3-0,"libsqlite3-0: Python links sqlite3, but persistence is JSON/files — no sqlite DB is parsed from untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912306
345912295,CVE-2026-54411,Container Scanning,libpam0g,MEDIUM,DISMISSED,Not applicable,CVE-2026-54411 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libpam0g,"libpam0g: no login/su/ssh in the container; PAM modules never load. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912295
345912294,CVE-2026-16118,Container Scanning,libglib2.0-0t64,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-16118 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912294
345912292,CVE-2026-50812,Container Scanning,libsqlite3-0,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-50812 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libsqlite3-0,"libsqlite3-0: Python links sqlite3, but persistence is JSON/files — no sqlite DB is parsed from untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912292
345912284,CVE-2026-27456,Container Scanning,login,MEDIUM,DISMISSED,Not applicable,CVE-2026-27456 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:login,"login: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912284
345912276,CVE-2026-5435,Container Scanning,libc-bin,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-5435 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libc-bin,"libc-bin: linked by every process, but the CVEs target rarely-used functions; app input is HTTP via Caddy/ALB. No fixed glibc in trixie; clears on base refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912276
345912275,CVE-2026-42250,Container Scanning,libbz2-1.0,MEDIUM,DISMISSED,Not applicable,CVE-2026-42250 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libbz2-1.0,"libbz2-1.0: apt never runs at container runtime; these CVEs sit in code paths the app does not drive with untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912275
345912274,CVE-2026-27456,Container Scanning,bsdutils,MEDIUM,DISMISSED,Not applicable,CVE-2026-27456 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:bsdutils,"bsdutils: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912274
345912273,CVE-2026-15588,Container Scanning,libglib2.0-0t64,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-15588 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912273
345912271,CVE-2026-54411,Container Scanning,libpam-modules-bin,MEDIUM,DISMISSED,Not applicable,CVE-2026-54411 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libpam-modules-bin,"libpam-modules-bin: no login/su/ssh in the container; PAM modules never load. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912271
345912270,CVE-2026-54370,Container Scanning,libacl1,MEDIUM,DISMISSED,Not applicable,CVE-2026-54370 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libacl1,"libacl1: apt never runs at container runtime; these CVEs sit in code paths the app does not drive with untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912270
345912269,CVE-2026-54411,Container Scanning,libpam-runtime,MEDIUM,DISMISSED,Not applicable,CVE-2026-54411 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libpam-runtime,"libpam-runtime: no login/su/ssh in the container; PAM modules never load. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912269
345912267,CVE-2026-13595,Container Scanning,libblkid1,MEDIUM,DISMISSED,Not applicable,CVE-2026-13595 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libblkid1,"libblkid1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912267
345912261,CVE-2026-3184,Container Scanning,liblastlog2-2,MEDIUM,DISMISSED,Not applicable,CVE-2026-3184 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:liblastlog2-2,"liblastlog2-2: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912261
345912257,CVE-2026-11822,Container Scanning,libsqlite3-0,MEDIUM,DISMISSED,Acceptable risk,CVE-2026-11822 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libsqlite3-0,"libsqlite3-0: Python links sqlite3, but persistence is JSON/files — no sqlite DB is parsed from untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912257
345912254,CVE-2026-13595,Container Scanning,util-linux,MEDIUM,DISMISSED,Not applicable,CVE-2026-13595 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:util-linux,"util-linux: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912254
345912246,CVE-2026-48961,Container Scanning,perl-base,MEDIUM,DISMISSED,Not applicable,CVE-2026-48961 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912246
345912244,CVE-2026-41991,Container Scanning,gzip,MEDIUM,DISMISSED,Not applicable,CVE-2026-41991 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:gzip,"gzip: base shell utilities never invoked by the serving process on untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912244
